TDP,Strategy0,Strategy1,Strategy2,Strategy3,Strategy4
10.00,0.000,0.000,0.000,0.000,0.000
30.00,66.140,68.440,65.960,69.020,67.100
50.00,70.320,69.120,68.980,69.220,68.400
