TDP,Strategy0,Strategy1,Strategy2,Strategy3,Strategy4
10.00,1.000000,1.000000,1.000000,1.000000,1.000000
30.00,0.000000,0.000000,0.000000,0.000000,0.000000
50.00,0.000000,0.000000,0.000000,0.000000,0.000000
