TDP,Strategy0,Strategy1,Strategy2,Strategy3,Strategy4
10.00,1.000000,1.000000,1.000000,1.000000,1.000000
30.00,0.236000,0.252000,0.230000,0.246000,0.252000
50.00,0.490000,0.482000,0.472000,0.490000,0.478000
