TDP,Strategy,Iteration,SuccessRate,AppSetSchedulability,TotalExecutionTime,AverageExecutionTime,CriticalPathLength,Hyperperiod,TotalTasks,ScheduledTasks,Makespan,AlgorithmRuntimeMs
10.00,0,16,1.000000,1.0,155.0,1.9,8.8,40.0,80,0,0,129
10.00,1,17,1.000000,1.0,155.0,1.9,8.8,40.0,80,0,0,132
10.00,2,18,1.000000,1.0,155.0,1.9,8.8,40.0,80,0,0,127
10.00,3,19,1.000000,1.0,155.0,1.9,8.8,40.0,80,0,0,131
10.00,4,20,1.000000,1.0,155.0,1.9,8.8,40.0,80,0,0,135
10.00,0,21,1.000000,1.0,170.0,2.1,12.0,40.0,80,0,0,130
10.00,1,22,1.000000,1.0,170.0,2.1,12.0,40.0,80,0,0,131
10.00,2,23,1.000000,1.0,170.0,2.1,12.0,40.0,80,0,0,121
10.00,3,24,1.000000,1.0,170.0,2.1,12.0,40.0,80,0,0,131
10.00,4,25,1.000000,1.0,170.0,2.1,12.0,40.0,80,0,0,135
10.00,0,26,1.000000,1.0,176.0,2.2,11.0,40.0,80,0,0,134
10.00,1,27,1.000000,1.0,176.0,2.2,11.0,40.0,80,0,0,122
10.00,2,28,1.000000,1.0,176.0,2.2,11.0,40.0,80,0,0,122
10.00,3,29,1.000000,1.0,176.0,2.2,11.0,40.0,80,0,0,119
10.00,4,30,1.000000,1.0,176.0,2.2,11.0,40.0,80,0,0,131
10.00,0,31,1.000000,1.0,163.0,2.0,11.0,40.0,80,0,0,135
10.00,1,32,1.000000,1.0,163.0,2.0,11.0,40.0,80,0,0,131
10.00,2,33,1.000000,1.0,163.0,2.0,11.0,40.0,80,0,0,135
10.00,3,34,1.000000,1.0,163.0,2.0,11.0,40.0,80,0,0,137
10.00,4,35,1.000000,1.0,163.0,2.0,11.0,40.0,80,0,0,138
10.00,0,36,1.000000,1.0,152.0,1.9,9.0,40.0,80,0,0,135
10.00,1,37,1.000000,1.0,152.0,1.9,9.0,40.0,80,0,0,133
